PositionX [?m],PositionY [?m],Time [s]
12.216667,13.383333,12:48.8
12.158333,13.466667,12:49.9
12.284028,13.421528,12:50.8
12.235088,13.412281,12:51.8
12.291667,13.566667,12:52.9
12.213492,13.461905,12:53.8
12.230952,13.496825,12:54.8
12.230952,13.496825,12:55.8
12.292063,13.488095,12:56.8
12.374603,13.461905,12:57.8
12.283333,13.475,12:58.8
12.216667,13.483333,12:59.8
12.246667,13.429167,13:00.8
12.307246,13.463043,13:01.8
12.184028,13.536111,13:02.8
12.107971,13.518841,13:03.8
12.158667,13.464,13:04.8
12.076087,13.51087,13:05.8
12.125,13.491667,13:06.8
12.208333,13.5,13:07.8
12.108333,13.508333,13:08.8
12.174691,13.491975,13:09.8
12.118333,13.3925,13:10.8
12.075,13.416667,13:11.8
12.078431,13.469608,13:12.8
12.115942,13.478986,13:13.8
12.130556,13.467361,13:14.8
12.115942,13.478986,13:15.8
12.107971,13.423188,13:16.8
12.200833,13.4475,13:17.8
12.177564,13.326923,13:18.8
12.11746,13.374603,13:19.8
12.1,13.45,13:20.8
12.084058,13.43913,13:21.8
12.133333,13.408333,13:22.8
12.261111,13.505556,13:23.8
12.313492,13.461905,13:24.8
12.183333,13.391667,13:25.8
12.358333,13.458333,13:26.8
12.176389,13.444444,13:27.9
12.177564,13.425641,13:28.8
12.183333,13.408333,13:29.8
12.25942,13.415217,13:30.8
12.268056,13.360417,13:31.8
12.274167,13.3375,13:32.8
12.329167,13.3925,13:33.8
12.4,13.391667,13:34.8
12.375,13.2,13:35.8
12.359722,13.261111,13:36.8
12.274167,13.3375,13:37.8
12.30625,13.322222,13:38.8
12.309524,13.409524,13:39.8
12.291667,13.333333,13:40.8
12.312281,13.531579,13:41.8
12.301667,13.3925,13:42.8
12.291304,13.435507,13:43.8
12.456481,13.322222,13:44.9
12.307246,13.37971,13:45.8
12.298,13.339333,13:46.8
12.315217,13.45942,13:47.8
12.291304,13.311594,13:48.8
12.301667,13.446667,13:49.8
12.230952,13.422619,13:50.8
12.158333,13.575,13:51.8
12.219872,13.467949,13:52.8
12.246667,13.5025,13:53.9
12.225,13.55,13:54.8
12.305333,13.549333,13:55.8
12.225439,13.489474,13:56.8
12.327333,13.427333,13:57.8
12.216667,13.491667,13:58.8
12.254386,13.364035,13:59.8
12.268056,13.345139,14:00.8
12.173333,13.383333,14:01.8
12.225439,13.335088,14:02.8
12.196491,13.354386,14:03.8
12.219167,13.465833,14:04.8
12.239683,13.444444,14:05.8
12.242593,13.312037,14:06.8
12.2275,13.465833,14:07.8
12.291667,13.475,14:08.8
12.215942,13.455072,14:09.8
12.163768,13.502899,14:10.9
12.234921,13.514286,14:11.8
12.236667,13.486,14:12.8
12.186842,13.518421,14:13.8
12.206944,13.490278,14:14.9
12.216667,13.458333,14:15.8
12.211594,13.455072,14:16.8
12.174691,13.471605,14:17.8
12.169841,13.540476,14:18.8
